"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_API","DifferenceScore_API","Related_score_API","Unrelated_score_API"
"charm-beauty","related",0.502539220225149,NA,NA,NA,0.747,NA,NA,NA
"tough-nausea","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"trick-indicate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"confirmation-confirm","related",0.864891675940993,NA,NA,NA,0.65,NA,NA,NA
"current-hallucination","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"stomach-poker","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rain-snow","related",0.538055523142037,NA,NA,NA,0.8725,NA,NA,NA
"fire-flame","related",0.595624243313478,NA,NA,NA,0.9,NA,NA,NA
"queen-king","related",0.590601528881116,NA,NA,NA,0.9,NA,NA,NA
"divorce-marriage","related",0.620385211987158,NA,NA,NA,0.875,NA,NA,NA
"diamond-strange","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"witness-disappointment","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"silent-silence","related",0.67007748455737,NA,NA,NA,0.85,NA,NA,NA
"management-administrative","related",0.504877758676306,NA,NA,NA,0.744,NA,NA,NA
"hand-joke","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"fire-understand","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"plan-friendly","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"conspiracy-bad","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"plan-strategy","related",0.697095780812326,NA,NA,NA,0.8835,NA,NA,NA
"area-child","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"conference-attacker","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"drive-shoe","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"gossip-scandal","related",0.58912434116551,NA,NA,NA,0.754,NA,NA,NA
"injustice-smell","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"internet-web","related",0.721837976009116,NA,NA,NA,0.8875,NA,NA,NA
"end-finish","related",0.750493180803796,NA,NA,NA,0.883,NA,NA,NA
"old-young","related",0.56661328790705,NA,NA,NA,0.2,NA,NA,NA
"theft-robbery","related",0.700045288798827,NA,NA,NA,0.8615,NA,NA,NA
"dry-unable","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"cavalry-artillery","related",0.437937155067665,NA,NA,NA,0.7495,NA,NA,NA
"pleasure-joy","related",0.560923957947163,NA,NA,NA,0.875,NA,NA,NA
"train-bus","related",0.45760943670792,NA,NA,NA,0.7665,NA,NA,NA
"majesty-thumb","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hire-finish","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"supernatural-paranormal","related",0.716106788524998,NA,NA,NA,0.875,NA,NA,NA
"boys-monitor","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"run-festival","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"empty-full","related",0.542904554538116,NA,NA,NA,0.445,NA,NA,NA
"radar-satellite","related",0.481673272685921,NA,NA,NA,0.775,NA,NA,NA
"bribe-blackmail","related",0.585376390317161,NA,NA,NA,0.8235,NA,NA,NA
"route-path","related",0.635199653923837,NA,NA,NA,0.825,NA,NA,NA
"palace-video","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"caliber-motel","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sergeant-obviously","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"general-maximum","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"gossip-prisoner","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"class-radiation","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"orphanage-convent","related",0.440816757924327,NA,NA,NA,0.29,NA,NA,NA
"bribe-girls","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"governor-senator","related",0.524410625272434,NA,NA,NA,0.7875,NA,NA,NA
"modern-traditional","related",0.519065500948844,NA,NA,NA,0.3705,NA,NA,NA
"similar-son","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"cloud-money","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"waiter-waitress","related",0.887357158714569,NA,NA,NA,1,NA,NA,NA
"night-evening","related",0.596008297745553,NA,NA,NA,0.875,NA,NA,NA
"choice-write","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"insult-inside","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"camera-build","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"voice-accent","related",0.459584145716725,NA,NA,NA,0.75,NA,NA,NA
"desire-holiday","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"stress-depression","related",0.441033528529205,NA,NA,NA,0.754,NA,NA,NA
"loyalty-newspaper","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"glorious-glory","related",0.729224441184231,NA,NA,NA,0.825,NA,NA,NA
"ninja-samurai","related",0.577510899489272,NA,NA,NA,0.8,NA,NA,NA
"career-reputation","related",0.358987456424843,NA,NA,NA,0.6255,NA,NA,NA
"chip-device","related",0.421154011612079,NA,NA,NA,0.706,NA,NA,NA
"reason-cause","related",0.678879978357748,NA,NA,NA,0.9,NA,NA,NA
"warning-message","related",0.491840833025276,NA,NA,NA,0.5725,NA,NA,NA
"crown-weekly","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dog-cat","related",0.602541397313927,NA,NA,NA,0.887,NA,NA,NA
"maybe-powerless","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"worm-wedding","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"research-murderer","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"roman-greek","related",0.388930049187114,NA,NA,NA,0.8,NA,NA,NA
"here-ding","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"window-door","related",0.515123247003332,NA,NA,NA,0.8375,NA,NA,NA
"valuable-important","related",0.482257848371573,NA,NA,NA,0.806,NA,NA,NA
"wound-tragic","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"load-solar","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"firm-hose","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rocket-missile","related",0.463502986335439,NA,NA,NA,0.8195,NA,NA,NA
"out-about","related",0.61437439295613,NA,NA,NA,0,NA,NA,NA
"nest-egg","related",0.487358579529777,NA,NA,NA,0.875,NA,NA,NA
"aspirin-morphine","related",0.378278807576027,NA,NA,NA,0.825,NA,NA,NA
"responsibility-syndrome","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"majority-camping","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"construction-build","related",0.721873514995822,NA,NA,NA,0.75,NA,NA,NA
"opinion-attitude","related",0.487030947109679,NA,NA,NA,0.7525,NA,NA,NA
"rain-federation","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"stick-meet","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"golf-tennis","related",0.567951529987146,NA,NA,NA,0.8,NA,NA,NA
"virus-client","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"industry-business","related",0.540148188794708,NA,NA,NA,0.8215,NA,NA,NA
"sometimes-injection","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"expensive-journalist","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"husband-wife","related",0.653217371168985,NA,NA,NA,1,NA,NA,NA
"protein-bury","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ideal-perfect","related",0.65934250346885,NA,NA,NA,0.8625,NA,NA,NA
"trailer-attempt","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"health-force","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"parliament-senate","related",0.596139253487518,NA,NA,NA,0.8375,NA,NA,NA
"boot-shoe","related",0.380081631713182,NA,NA,NA,0.8625,NA,NA,NA
"near-champagne","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"exceptional-explode","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"landing-garbage","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"illegal-young","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"okay-often","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"chip-ride","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"place-morphine","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"birth-pregnancy","related",0.488052128969616,NA,NA,NA,0.891,NA,NA,NA
"jungle-forest","related",0.484677570433863,NA,NA,NA,0.897,NA,NA,NA
"banana-strawberry","related",0.393250301410488,NA,NA,NA,0.861,NA,NA,NA
"private-privacy","related",0.635407226600172,NA,NA,NA,0.8625,NA,NA,NA
"model-prototype","related",0.595200787551053,NA,NA,NA,0.75,NA,NA,NA
"west-east","related",0.577598700457822,NA,NA,NA,0.606,NA,NA,NA
"burst-mystery","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"floor-carpet","related",0.54227162589334,NA,NA,NA,0.8195,NA,NA,NA
"necessary-bag","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"view-perspective","related",0.504416460138208,NA,NA,NA,0.8,NA,NA,NA
"mile-ransom","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"banking-financial","related",0.545607945292257,NA,NA,NA,0.825,NA,NA,NA
"explanation-plausible","related",0.331816780458483,NA,NA,NA,0.1375,NA,NA,NA
"shot-shoot","related",0.720231070233047,NA,NA,NA,0.775,NA,NA,NA
"try-castle","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"total-waitress","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"forbidden-prohibit","related",0.595945808759673,NA,NA,NA,0.7895,NA,NA,NA
"suck-lick","related",0.508028061441368,NA,NA,NA,0.728,NA,NA,NA
"point-indicate","related",0.410064405860891,NA,NA,NA,0.2085,NA,NA,NA
"admit-mission","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"quiet-flour","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"top-woman","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"risk-wet","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rifle-gun","related",0.540124578879616,NA,NA,NA,0.925,NA,NA,NA
"always-constantly","related",0.61644359715854,NA,NA,NA,0.85,NA,NA,NA
"leave-abandon","related",0.506140206045574,NA,NA,NA,0.7675,NA,NA,NA
"radius-expect","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"male-female","related",0.800457922927788,NA,NA,NA,0.8,NA,NA,NA
"album-meter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"caesar-pilot","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"whiskey-vodka","related",0.597675118033193,NA,NA,NA,0.825,NA,NA,NA
"beach-mechanical","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"century-contrary","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"flee-long","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"shadow-dark","related",0.570480795275111,NA,NA,NA,0.72,NA,NA,NA
"envelope-package","related",0.408478663996504,NA,NA,NA,0.75,NA,NA,NA
"helmet-fruit","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"purpose-intention","related",0.495683183300175,NA,NA,NA,0.827,NA,NA,NA
"hospitality-need","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"protein-vitamin","related",0.424105549525622,NA,NA,NA,0.7695,NA,NA,NA
"privilege-storm","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"soldier-warrior","related",0.576451623625227,NA,NA,NA,0.85,NA,NA,NA
"coach-sufficient","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"count-calculate","related",0.543653874252219,NA,NA,NA,0.7135,NA,NA,NA
"check-bottom","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"basketball-football","related",0.524150028600028,NA,NA,NA,0.86,NA,NA,NA
"pocket-wallet","related",0.408017119335288,NA,NA,NA,0.7875,NA,NA,NA
"shop-mathematics","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"air-family","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"candidate-pleasant","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"myth-exhibition","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"firm-agency","related",0.464222746939421,NA,NA,NA,0.666,NA,NA,NA
"horn-flame","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"angel-devil","related",0.602959030690044,NA,NA,NA,0.793,NA,NA,NA
"experience-knowledge","related",0.54439397720023,NA,NA,NA,0.775,NA,NA,NA
"journalism-bed","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"noble-left","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"senior-junior","related",0.63715396504476,NA,NA,NA,0.8115,NA,NA,NA
"base-headquarters","related",0.382405031485043,NA,NA,NA,0.2075,NA,NA,NA
"irony-ironic","related",0.900426134075498,NA,NA,NA,0.8,NA,NA,NA
"supernatural-lecture","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"september-october","related",0.643777873640735,NA,NA,NA,0.875,NA,NA,NA
"champion-fighter","related",0.385067951783435,NA,NA,NA,0.781,NA,NA,NA
"terrible-horrible","related",0.849541039529439,NA,NA,NA,0.9,NA,NA,NA
"admit-confess","related",0.671377334833535,NA,NA,NA,0.837,NA,NA,NA
"skin-tissue","related",0.404326417017752,NA,NA,NA,0.777,NA,NA,NA
"swallow-chew","related",0.62721492650511,NA,NA,NA,0.1685,NA,NA,NA
"file-document","related",0.616321521466452,NA,NA,NA,0.8625,NA,NA,NA
"comment-brother","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"man-primary","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"porn-movie","related",0.452093327251724,NA,NA,NA,0.763,NA,NA,NA
"pleasure-local","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"penalty-imprisonment","related",0.484304555290755,NA,NA,NA,0.7435,NA,NA,NA
"washington-biological","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pub-strategy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"balance-merchant","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"desire-wish","related",0.458726537411141,NA,NA,NA,0.8585,NA,NA,NA
"youth-childhood","related",0.491576446258601,NA,NA,NA,0.875,NA,NA,NA
"obstacle-challenge","related",0.50296510942079,NA,NA,NA,0.736,NA,NA,NA
"cement-plastic","related",0.338944821948357,NA,NA,NA,0.3,NA,NA,NA
"basketball-ceremony","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"imperial-emperor","related",0.597199807938244,NA,NA,NA,0.838,NA,NA,NA
"glasses-cap","related",0.32114977518054,NA,NA,NA,0.177,NA,NA,NA
"uncomfortable-boy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"relative-pain","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"club-bar","related",0.464760858530993,NA,NA,NA,0.778,NA,NA,NA
"carnival-festival","related",0.585327230205657,NA,NA,NA,0.87,NA,NA,NA
"golden-silver","related",0.553645340454721,NA,NA,NA,0.8625,NA,NA,NA
"orgasm-cold","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"cabinet-continue","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"soldier-activity","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"gambling-poker","related",0.636555743504481,NA,NA,NA,0.825,NA,NA,NA
"mouth-dismissal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"stomach-chest","related",0.474862991215166,NA,NA,NA,0.174,NA,NA,NA
"big-savior","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"engagement-wedding","related",0.486610002760825,NA,NA,NA,0.7925,NA,NA,NA
"arsenal-graduate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"law-childhood","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"piano-cartel","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bravo-safety","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"camera-microphone","related",0.469706020272711,NA,NA,NA,0.765,NA,NA,NA
"useful-lady","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dinner-misery","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"policy-politician","related",0.374387509630058,NA,NA,NA,0.7045,NA,NA,NA
"hill-mountain","related",0.434401461349205,NA,NA,NA,0.872,NA,NA,NA
"management-probably","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"concern-worry","related",0.682757507364281,NA,NA,NA,0.9,NA,NA,NA
"one-torture","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"toast-bacon","related",0.377885372509534,NA,NA,NA,0.838,NA,NA,NA
"valve-ventilation","related",0.447493163676243,NA,NA,NA,0.4785,NA,NA,NA
"colony-gay","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"baron-agency","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"culture-civilization","related",0.510949950485374,NA,NA,NA,0.8535,NA,NA,NA
"flag-assassin","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"swear-sauce","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"outside-equip","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bring-send","related",0.528847033725975,NA,NA,NA,0.778,NA,NA,NA
"experiment-test","related",0.655768604917038,NA,NA,NA,0.8175,NA,NA,NA
"instinct-school","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"security-safety","related",0.595882463574312,NA,NA,NA,0.8645,NA,NA,NA
"enemy-liver","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"choose-select","related",0.649881761980319,NA,NA,NA,0.871,NA,NA,NA
"resistance-amazing","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"innocent-guilty","related",0.546354436159152,NA,NA,NA,0.838,NA,NA,NA
"yoga-massage","related",0.38533564771367,NA,NA,NA,0.746,NA,NA,NA
"evolution-mutation","related",0.47409851681012,NA,NA,NA,0.8625,NA,NA,NA
"plant-agreement","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"mail-music","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"majesty-highness","related",0.560877156211702,NA,NA,NA,0.85,NA,NA,NA
"thief-devotion","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"mafia-cartel","related",0.349609572281452,NA,NA,NA,0.818,NA,NA,NA
"pyramid-structure","related",0.351335276011145,NA,NA,NA,0.802,NA,NA,NA
"detonator-creepy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"scratch-opponent","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"recover-legend","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"describe-express","related",0.467537232343621,NA,NA,NA,0.4725,NA,NA,NA
"hospital-development","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"plague-epidemic","related",0.612213126327736,NA,NA,NA,0.8755,NA,NA,NA
"aids-restaurant","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"minimum-politician","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"value-price","related",0.570294783101082,NA,NA,NA,0.8,NA,NA,NA
"midnight-noon","related",0.495739054794695,NA,NA,NA,0.545,NA,NA,NA
"choose-evaluation","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"telegram-letter","related",0.472639939196735,NA,NA,NA,0.753,NA,NA,NA
"stay-photo","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"key-lock","related",0.508705991012833,NA,NA,NA,0.95,NA,NA,NA
"empty-tennis","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tired-effective","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"law-constitution","related",0.486482667299112,NA,NA,NA,0.85,NA,NA,NA
"chaos-confusion","related",0.554809645422835,NA,NA,NA,0.835,NA,NA,NA
"rock-poem","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"student-teacher","related",0.561431806209559,NA,NA,NA,0.85,NA,NA,NA
"ring-arrogance","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pirate-protocol","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"trick-joke","related",0.499046062107482,NA,NA,NA,0.752,NA,NA,NA
"resistance-resist","related",0.664717904830655,NA,NA,NA,0.5,NA,NA,NA
"genius-scientist","related",0.403548733727292,NA,NA,NA,0.7305,NA,NA,NA
"helmet-hat","related",0.389934252644559,NA,NA,NA,0.733,NA,NA,NA
"opposite-delicious","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"unreasonable-alibi","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"say-tell","related",0.679224971392412,NA,NA,NA,0.775,NA,NA,NA
"girl-boy","related",0.694759603053199,NA,NA,NA,0.9,NA,NA,NA
"hand-arm","related",0.51062972042666,NA,NA,NA,0.85,NA,NA,NA
"playboy-zone","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"capital-romantic","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"process-procedure","related",0.681219343089841,NA,NA,NA,0.805,NA,NA,NA
"move-transfer","related",0.549023747917875,NA,NA,NA,0.6965,NA,NA,NA
"special-confidence","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"gain-flight","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"short-long","related",0.540050160920467,NA,NA,NA,0.55,NA,NA,NA
"banana-rage","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dose-injection","related",0.503871751381392,NA,NA,NA,0.769,NA,NA,NA
"general-colonel","related",0.407939304574575,NA,NA,NA,0.4005,NA,NA,NA
"load-cargo","related",0.551340051709405,NA,NA,NA,0.8375,NA,NA,NA
"analyst-investigator","related",0.535595529021705,NA,NA,NA,0.741,NA,NA,NA
"contact-marketing","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"snack-prototype","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"replace-penis","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"lie-convent","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"soft-winner","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"antidote-vaccine","related",0.432103362527632,NA,NA,NA,0.75,NA,NA,NA
"darkness-light","related",0.373943458950711,NA,NA,NA,0.056,NA,NA,NA
"mars-great","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"point-mercy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"compliment-gate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"moon-sun","related",0.56383272105506,NA,NA,NA,0.8125,NA,NA,NA
"grain-flour","related",0.549285630934511,NA,NA,NA,0.8725,NA,NA,NA
"diarrhea-nausea","related",0.410625397131087,NA,NA,NA,0.8,NA,NA,NA
"gang-group","related",0.584660562150019,NA,NA,NA,0.737,NA,NA,NA
"service-maintenance","related",0.465247536323119,NA,NA,NA,0.6645,NA,NA,NA
"summer-divine","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rocket-wife","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"privilege-honor","related",0.57944858860453,NA,NA,NA,0.679,NA,NA,NA
"smile-treatment","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"route-medal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hero-close","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"romeo-juliet","related",0.666018830373968,NA,NA,NA,0.9,NA,NA,NA
"budget-phrase","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"nude-naked","related",0.80599155759148,NA,NA,NA,0.925,NA,NA,NA
"national-copy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"nickname-sell","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tumor-cancer","related",0.659431621237791,NA,NA,NA,0.9,NA,NA,NA
"alone-lonely","related",0.624159849826848,NA,NA,NA,0.775,NA,NA,NA
"data-absurd","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"author-dollar","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"mud-vitamin","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"form-brave","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ticket-hide","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"secretary-assistant","related",0.446731289409104,NA,NA,NA,0.849,NA,NA,NA
"jealous-sermon","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hello-bye","related",0.540164665114439,NA,NA,NA,0.8385,NA,NA,NA
"final-ultimate","related",0.637371290365872,NA,NA,NA,0.817,NA,NA,NA
"ridiculous-absurd","related",0.610367985020035,NA,NA,NA,0.8925,NA,NA,NA
"reporter-journalist","related",0.743438929493692,NA,NA,NA,0.9,NA,NA,NA
"tenant-landlord","related",0.493388549637457,NA,NA,NA,0.85,NA,NA,NA
"rock-stone","related",0.453396443850208,NA,NA,NA,0.9,NA,NA,NA
"room-bedroom","related",0.551531989886309,NA,NA,NA,0.871,NA,NA,NA
"bee-ant","related",0.295428436061025,NA,NA,NA,0.8225,NA,NA,NA
"daughter-son","related",0.506774631636849,NA,NA,NA,1,NA,NA,NA
"person-individual","related",0.729761898324173,NA,NA,NA,0.9,NA,NA,NA
"brand-generous","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"volunteer-voluntarily","related",0.63783757658764,NA,NA,NA,0.35,NA,NA,NA
"astronaut-come","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bible-book","related",0.489739280300118,NA,NA,NA,0.8375,NA,NA,NA
"miserable-pathetic","related",0.391191983917506,NA,NA,NA,0.777,NA,NA,NA
"monster-chapel","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"africa-oxygen","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tobacco-king","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"internal-juice","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"seller-buyer","related",0.750524517085748,NA,NA,NA,0.9,NA,NA,NA
"safe-accusation","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"witty-military","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hospitality-gratitude","related",0.397919787147875,NA,NA,NA,0.4,NA,NA,NA
"rule-countess","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pub-restaurant","related",0.501723249283634,NA,NA,NA,0.768,NA,NA,NA
"layer-surface","related",0.339251363956294,NA,NA,NA,0.73,NA,NA,NA
"cabinet-closet","related",0.516993833487133,NA,NA,NA,0.825,NA,NA,NA
"tank-imprisonment","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"useless-worthless","related",0.820742938792199,NA,NA,NA,0.8,NA,NA,NA
"county-district","related",0.690451375249715,NA,NA,NA,0.8,NA,NA,NA
"useful-effective","related",0.574963090297747,NA,NA,NA,0.367,NA,NA,NA
"banker-honesty","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"gesture-around","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"doubt-suspect","related",0.554293531346038,NA,NA,NA,0.7105,NA,NA,NA
"regiment-sit","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"warm-building","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"marine-pen","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"victory-defeat","related",0.596357043262341,NA,NA,NA,0.9,NA,NA,NA
"second-traditional","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"conflict-colonel","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"wrong-correct","related",0.591200031323646,NA,NA,NA,0.45,NA,NA,NA
"literally-practically","related",0.594645164780364,NA,NA,NA,0.22,NA,NA,NA
"impression-feeling","related",0.459868111814066,NA,NA,NA,0.7335,NA,NA,NA
